Date,DailyYield
01/10/2012,0.0000036
28/09/2012,0.000004
27/09/2012,0.0000036
26/09/2012,0.0000044
25/09/2012,0.0000044
24/09/2012,0.0000044
21/09/2012,0.0000044
20/09/2012,0.0000044
19/09/2012,0.0000044
18/09/2012,0.000004
17/09/2012,0.0000044
14/09/2012,0.0000044
13/09/2012,0.000004
12/09/2012,0.000004
11/09/2012,0.000004
10/09/2012,0.000004
07/09/2012,0.0000044
06/09/2012,0.0000044
05/09/2012,0.0000044
04/09/2012,0.000004
31/08/2012,0.0000036
30/08/2012,0.000004
29/08/2012,0.0000048
28/08/2012,0.000004
27/08/2012,0.0000044
24/08/2012,0.000004
23/08/2012,0.0000044
22/08/2012,0.0000044
21/08/2012,0.0000044
20/08/2012,0.0000044
17/08/2012,0.0000036
16/08/2012,0.0000036
15/08/2012,0.0000036
14/08/2012,0.0000044
13/08/2012,0.0000044
10/08/2012,0.000004
09/08/2012,0.0000044
08/08/2012,0.0000044
07/08/2012,0.0000044
06/08/2012,0.000004
03/08/2012,0.0000036
02/08/2012,0.0000036
01/08/2012,0.000004
31/07/2012,0.0000044
30/07/2012,0.0000044
27/07/2012,0.0000044
26/07/2012,0.0000044
25/07/2012,0.000004
24/07/2012,0.000004
23/07/2012,0.000004
20/07/2012,0.0000036
19/07/2012,0.0000036
18/07/2012,0.0000036
17/07/2012,0.000004
16/07/2012,0.000004
13/07/2012,0.000004
12/07/2012,0.000004
11/07/2012,0.000004
10/07/2012,0.0000036
09/07/2012,0.0000036
06/07/2012,0.0000032
05/07/2012,0.0000032
03/07/2012,0.0000036
02/07/2012,0.000004
29/06/2012,0.0000036
28/06/2012,0.0000036
27/06/2012,0.0000036
26/06/2012,0.000004
25/06/2012,0.000004
22/06/2012,0.0000036
21/06/2012,0.0000036
20/06/2012,0.0000036
19/06/2012,0.0000036
18/06/2012,0.000004
15/06/2012,0.0000036
14/06/2012,0.0000044
13/06/2012,0.000004
12/06/2012,0.000004
11/06/2012,0.0000036
08/06/2012,0.0000036
07/06/2012,0.0000036
06/06/2012,0.0000036
05/06/2012,0.0000032
04/06/2012,0.0000032
01/06/2012,0.0000028
31/05/2012,0.0000028
30/05/2012,0.0000028
29/05/2012,0.0000036
25/05/2012,0.0000036
24/05/2012,0.000004
23/05/2012,0.0000036
22/05/2012,0.0000036
21/05/2012,0.0000036
18/05/2012,0.0000032
17/05/2012,0.000004
16/05/2012,0.000004
15/05/2012,0.0000036
14/05/2012,0.000004
11/05/2012,0.000004
10/05/2012,0.000004
09/05/2012,0.0000036
08/05/2012,0.0000036
07/05/2012,0.000004
04/05/2012,0.0000028
03/05/2012,0.0000036
02/05/2012,0.0000032
01/05/2012,0.0000036
30/04/2012,0.000004
27/04/2012,0.0000036
26/04/2012,0.0000036
25/04/2012,0.0000036
24/04/2012,0.0000036
23/04/2012,0.0000032
20/04/2012,0.0000032
19/04/2012,0.0000028
18/04/2012,0.0000028
17/04/2012,0.0000032
16/04/2012,0.0000032
13/04/2012,0.0000036
12/04/2012,0.0000036
11/04/2012,0.0000036
10/04/2012,0.0000036
09/04/2012,0.0000036
05/04/2012,0.0000032
04/04/2012,0.0000032
03/04/2012,0.0000032
02/04/2012,0.0000032
30/03/2012,0.0000028
29/03/2012,0.0000028
28/03/2012,0.0000036
27/03/2012,0.0000036
26/03/2012,0.0000036
23/03/2012,0.0000032
22/03/2012,0.0000032
21/03/2012,0.0000036
20/03/2012,0.000004
19/03/2012,0.000004
16/03/2012,0.0000036
15/03/2012,0.0000032
14/03/2012,0.0000036
13/03/2012,0.0000032
12/03/2012,0.0000036
09/03/2012,0.0000036
08/03/2012,0.0000032
07/03/2012,0.0000032
06/03/2012,0.0000032
05/03/2012,0.0000032
02/03/2012,0.0000028
01/03/2012,0.0000032
29/02/2012,0.0000032
28/02/2012,0.000004
27/02/2012,0.0000048
24/02/2012,0.000004
23/02/2012,0.0000036
22/02/2012,0.0000036
21/02/2012,0.0000032
17/02/2012,0.0000036
16/02/2012,0.000004
15/02/2012,0.0000044
14/02/2012,0.0000048
13/02/2012,0.0000044
10/02/2012,0.0000036
09/02/2012,0.0000036
08/02/2012,0.0000036
07/02/2012,0.0000032
06/02/2012,0.0000032
03/02/2012,0.0000032
02/02/2012,0.0000032
01/02/2012,0.0000024
31/01/2012,0.0000024
30/01/2012,0.000002
27/01/2012,0.0000024
26/01/2012,0.000002
25/01/2012,0.0000016
24/01/2012,0.0000016
23/01/2012,0.0000016
20/01/2012,0.000002
19/01/2012,0.000002
18/01/2012,0.0000012
17/01/2012,0.0000012
13/01/2012,0.0000012
12/01/2012,0.0000012
11/01/2012,0.0000008
10/01/2012,0.0000008
09/01/2012,0.0000004
06/01/2012,0.0000008
05/01/2012,0.0000008
04/01/2012,0.0000008
03/01/2012,0.0000008
30/12/2011,0.0000008
29/12/2011,0.0000008
28/12/2011,0.0000004
27/12/2011,0.0000008
23/12/2011,0.0000004
22/12/2011,0.0000004
21/12/2011,0.0000004
20/12/2011,0.0000004
19/12/2011,0.0000004
16/12/2011,0
15/12/2011,0
14/12/2011,0.0000004
13/12/2011,0.0000004
12/12/2011,0.0000004
09/12/2011,0.0000004
08/12/2011,0.0000004
07/12/2011,0.0000008
06/12/2011,0.0000004
05/12/2011,0.0000004
02/12/2011,0.0000008
01/12/2011,0.0000004
30/11/2011,0.0000004
29/11/2011,0.0000008
28/11/2011,0.0000012
25/11/2011,0.0000008
23/11/2011,0.0000008
22/11/2011,0.0000008
21/11/2011,0.0000008
18/11/2011,0.0000004
17/11/2011,0.0000008
16/11/2011,0.0000004
15/11/2011,0.0000004
14/11/2011,0.0000004
11/11/2011,0.0000004
10/11/2011,0.0000004
09/11/2011,0.0000004
08/11/2011,0.0000004
07/11/2011,0.0000004
04/11/2011,0.0000004
03/11/2011,0.0000004
02/11/2011,0.0000004
01/11/2011,0.0000004
31/10/2011,0.0000004
28/10/2011,0.0000004
27/10/2011,0.0000008
26/10/2011,0.0000008
25/10/2011,0.0000004
24/10/2011,0.0000008
